class,framework,seed,f1
Apple__healthy,one_stage,0,0.968421052631579
Apple__healthy,one_stage,1,0.9554140127388536
Apple__healthy,one_stage,42,0.9576271186440678
Apple__healthy,one_stage,123,0.948936170212766
Apple__healthy,one_stage,492,0.9509594882729212
Apple__healthy,two_stage,0,0.9688149688149688
Apple__healthy,two_stage,1,0.9642105263157896
Apple__healthy,two_stage,42,0.977035490605428
Apple__healthy,two_stage,123,0.9727463312368972
Apple__healthy,two_stage,492,0.9707112970711296
Apple__healthy,attention,0,0.988294804022127
Apple__healthy,attention,1,0.9890291680233596
Apple__healthy,attention,42,0.9844413012729843
Apple__healthy,attention,123,0.9847226199029288
Apple__healthy,attention,492,0.964468315952763
Apple__healthy,gating,0,0.970584453160162
Apple__healthy,gating,1,0.9901931721986059
Apple__healthy,gating,42,0.9745278383113275
Apple__healthy,gating,123,0.9833639873553258
Apple__healthy,gating,492,0.9742571546548647
Apple__healthy,ffs,0,0.8802111597809904
Apple__healthy,ffs,1,0.9021344160368318
Apple__healthy,ffs,42,0.8311507040109027
Apple__healthy,ffs,123,0.9148088705287984
Apple__healthy,ffs,492,0.9095962859740515
Apple__healthy,ffc,0,0.8970239199867165
Apple__healthy,ffc,1,0.9078272335681905
Apple__healthy,ffc,42,0.8911603471904979
Apple__healthy,ffc,123,0.9054779806659506
Apple__healthy,ffc,492,0.8832430516111571
Apple__healthy,film,0,0.8681341936874022
Apple__healthy,film,1,0.8836499499077596
Apple__healthy,film,42,0.8417622619990967
Apple__healthy,film,123,0.9022040781338735
Apple__healthy,film,492,0.8911825442618968
Cherry_(including_sour)__Powdery_mildew,one_stage,0,0.9807692307692308
Cherry_(including_sour)__Powdery_mildew,one_stage,1,0.9675324675324676
Cherry_(including_sour)__Powdery_mildew,one_stage,42,0.9871794871794872
Cherry_(including_sour)__Powdery_mildew,one_stage,123,0.9936305732484076
Cherry_(including_sour)__Powdery_mildew,one_stage,492,0.9840255591054312
Cherry_(including_sour)__Powdery_mildew,two_stage,0,1.0
Cherry_(including_sour)__Powdery_mildew,two_stage,1,0.9968253968253968
Cherry_(including_sour)__Powdery_mildew,two_stage,42,1.0
Cherry_(including_sour)__Powdery_mildew,two_stage,123,1.0
Cherry_(including_sour)__Powdery_mildew,two_stage,492,1.0
Cherry_(including_sour)__Powdery_mildew,attention,0,0.9880659469411666
Cherry_(including_sour)__Powdery_mildew,attention,1,0.9915697268948588
Cherry_(including_sour)__Powdery_mildew,attention,42,0.9901965123484109
Cherry_(including_sour)__Powdery_mildew,attention,123,0.9749489448604491
Cherry_(including_sour)__Powdery_mildew,attention,492,0.9844753476611883
Cherry_(including_sour)__Powdery_mildew,gating,0,0.9866331748452498
Cherry_(including_sour)__Powdery_mildew,gating,1,0.9901441501843782
Cherry_(including_sour)__Powdery_mildew,gating,42,0.9764165321351563
Cherry_(including_sour)__Powdery_mildew,gating,123,0.9933277638540796
Cherry_(including_sour)__Powdery_mildew,gating,492,0.9901965123484109
Cherry_(including_sour)__Powdery_mildew,ffs,0,0.9782480893592005
Cherry_(including_sour)__Powdery_mildew,ffs,1,0.9743537896404139
Cherry_(including_sour)__Powdery_mildew,ffs,42,0.9477707006369426
Cherry_(including_sour)__Powdery_mildew,ffs,123,0.9764268828098615
