disease,framework,seed,f1
Cedar_apple_rust,gating,123,0.9933893443922677
Cedar_apple_rust,gating,492,0.9916244453415626
Cedar_apple_rust,ffs,0,0.8961161852915167
Cedar_apple_rust,ffs,1,0.9435521023121751
Cedar_apple_rust,ffs,42,0.9195932983722649
Cedar_apple_rust,ffs,123,0.9138366751872897
Cedar_apple_rust,ffs,492,0.9344594373763979
Cedar_apple_rust,ffc,0,0.890769575836797
Cedar_apple_rust,ffc,1,0.9219034164668101
Cedar_apple_rust,ffc,42,0.9402005473749541
Cedar_apple_rust,ffc,123,0.9209507103518781
Cedar_apple_rust,ffc,492,0.9193900054198837
Cedar_apple_rust,film,0,0.9018491394323149
Cedar_apple_rust,film,1,0.9215974277071269
Cedar_apple_rust,film,42,0.9220242701404222
Cedar_apple_rust,film,123,0.9202850816486815
Cedar_apple_rust,film,492,0.919243694787148
Cercospora_leaf_spot Gray_leaf_spot,one_stage,0,0.8831168831168831
Cercospora_leaf_spot Gray_leaf_spot,one_stage,1,0.8489208633093526
Cercospora_leaf_spot Gray_leaf_spot,one_stage,42,0.8689655172413793
Cercospora_leaf_spot Gray_leaf_spot,one_stage,123,0.8085106382978723
Cercospora_leaf_spot Gray_leaf_spot,one_stage,492,0.8717948717948718
Cercospora_leaf_spot Gray_leaf_spot,two_stage,0,0.9056603773584906
Cercospora_leaf_spot Gray_leaf_spot,two_stage,1,0.8571428571428571
Cercospora_leaf_spot Gray_leaf_spot,two_stage,42,0.89171974522293
Cercospora_leaf_spot Gray_leaf_spot,two_stage,123,0.8888888888888888
Cercospora_leaf_spot Gray_leaf_spot,two_stage,492,0.8466257668711656
Cercospora_leaf_spot Gray_leaf_spot,attention,0,0.9058012929765862
Cercospora_leaf_spot Gray_leaf_spot,attention,1,0.9130913071828636
Cercospora_leaf_spot Gray_leaf_spot,attention,42,0.9066856339335194
Cercospora_leaf_spot Gray_leaf_spot,attention,123,0.8917212190712926
Cercospora_leaf_spot Gray_leaf_spot,attention,492,0.9016079871294398
Cercospora_leaf_spot Gray_leaf_spot,gating,0,0.9180230422557735
Cercospora_leaf_spot Gray_leaf_spot,gating,1,0.9161263807401236
Cercospora_leaf_spot Gray_leaf_spot,gating,42,0.9245426557971127
Cercospora_leaf_spot Gray_leaf_spot,gating,123,0.9128442624145163
Cercospora_leaf_spot Gray_leaf_spot,gating,492,0.9112224632868413
Cercospora_leaf_spot Gray_leaf_spot,ffs,0,0.8699139576514139
Cercospora_leaf_spot Gray_leaf_spot,ffs,1,0.8672447007493449
Cercospora_leaf_spot Gray_leaf_spot,ffs,42,0.856866073383958
Cercospora_leaf_spot Gray_leaf_spot,ffs,123,0.8511410197170598
Cercospora_leaf_spot Gray_leaf_spot,ffs,492,0.7781044804548168
Cercospora_leaf_spot Gray_leaf_spot,ffc,0,0.8509193579704138
Cercospora_leaf_spot Gray_leaf_spot,ffc,1,0.8637733993988334
Cercospora_leaf_spot Gray_leaf_spot,ffc,42,0.8495618332673787
Cercospora_leaf_spot Gray_leaf_spot,ffc,123,0.8450340693626069
Cercospora_leaf_spot Gray_leaf_spot,ffc,492,0.8267537426852691
Cercospora_leaf_spot Gray_leaf_spot,film,0,0.8536857116037396
Cercospora_leaf_spot Gray_leaf_spot,film,1,0.830048014358737
Cercospora_leaf_spot Gray_leaf_spot,film,42,0.8242149387809313
Cercospora_leaf_spot Gray_leaf_spot,film,123,0.8500527991018085
Cercospora_leaf_spot Gray_leaf_spot,film,492,0.7431055668255477
Common_rust_,one_stage,0,0.9971988795518208
Common_rust_,one_stage,1,0.994413407821229
Common_rust_,one_stage,42,0.994413407821229
Common_rust_,one_stage,123,0.994413407821229
Common_rust_,one_stage,492,0.9944444444444444
Common_rust_,two_stage,0,0.9915966386554622
Common_rust_,two_stage,1,0.994413407821229
Common_rust_,two_stage,42,0.9916434540389972
Common_rust_,two_stage,123,0.9916434540389972
Common_rust_,two_stage,492,0.994413407821229
Common_rust_,attention,0,0.9908941273475211
Common_rust_,attention,1,0.9908748309616642
Common_rust_,attention,42,0.9918615451107686
Common_rust_,attention,123,0.9835349733140123
Common_rust_,attention,492,0.9756802831473036
Common_rust_,gating,0,0.9873798851440848
Common_rust_,gating,1,0.9930002178281696
Common_rust_,gating,42,0.9741177146386015
Common_rust_,gating,123,0.9906222431544063
