disease,framework,seed,f1
Cedar_apple_rust,ffs,0,0.9156626506024096
Cedar_apple_rust,ffs,1,0.963855421686747
Cedar_apple_rust,ffs,42,0.9523809523809524
Cedar_apple_rust,ffs,123,0.9285714285714286
Cedar_apple_rust,ffs,492,0.95
Cedar_apple_rust,ffc,0,0.9090909090909092
Cedar_apple_rust,ffc,1,0.9397590361445785
Cedar_apple_rust,ffc,42,0.9629629629629628
Cedar_apple_rust,ffc,123,0.9382716049382716
Cedar_apple_rust,ffc,492,0.9397590361445785
Cedar_apple_rust,film,0,0.9285714285714286
Cedar_apple_rust,film,1,0.9411764705882352
Cedar_apple_rust,film,42,0.9523809523809524
Cedar_apple_rust,film,123,0.9382716049382716
Cedar_apple_rust,film,492,0.9397590361445785
Cercospora_leaf_spot Gray_leaf_spot,one_stage,0,0.8831168831168831
Cercospora_leaf_spot Gray_leaf_spot,one_stage,1,0.8489208633093526
Cercospora_leaf_spot Gray_leaf_spot,one_stage,42,0.8689655172413793
Cercospora_leaf_spot Gray_leaf_spot,one_stage,123,0.8085106382978723
Cercospora_leaf_spot Gray_leaf_spot,one_stage,492,0.8717948717948718
Cercospora_leaf_spot Gray_leaf_spot,two_stage,0,0.9056603773584906
Cercospora_leaf_spot Gray_leaf_spot,two_stage,1,0.8571428571428571
Cercospora_leaf_spot Gray_leaf_spot,two_stage,42,0.89171974522293
Cercospora_leaf_spot Gray_leaf_spot,two_stage,123,0.8888888888888888
Cercospora_leaf_spot Gray_leaf_spot,two_stage,492,0.8466257668711656
Cercospora_leaf_spot Gray_leaf_spot,attention,0,0.91156462585034
Cercospora_leaf_spot Gray_leaf_spot,attention,1,0.918918918918919
Cercospora_leaf_spot Gray_leaf_spot,attention,42,0.91156462585034
Cercospora_leaf_spot Gray_leaf_spot,attention,123,0.9041095890410958
Cercospora_leaf_spot Gray_leaf_spot,attention,492,0.918918918918919
Cercospora_leaf_spot Gray_leaf_spot,gating,0,0.9271523178807948
Cercospora_leaf_spot Gray_leaf_spot,gating,1,0.92
Cercospora_leaf_spot Gray_leaf_spot,gating,42,0.9411764705882352
Cercospora_leaf_spot Gray_leaf_spot,gating,123,0.918918918918919
Cercospora_leaf_spot Gray_leaf_spot,gating,492,0.918918918918919
Cercospora_leaf_spot Gray_leaf_spot,ffs,0,0.8888888888888888
Cercospora_leaf_spot Gray_leaf_spot,ffs,1,0.8859060402684564
Cercospora_leaf_spot Gray_leaf_spot,ffs,42,0.8874172185430463
Cercospora_leaf_spot Gray_leaf_spot,ffs,123,0.8648648648648649
Cercospora_leaf_spot Gray_leaf_spot,ffs,492,0.7910447761194029
Cercospora_leaf_spot Gray_leaf_spot,ffc,0,0.868421052631579
Cercospora_leaf_spot Gray_leaf_spot,ffc,1,0.8805031446540881
Cercospora_leaf_spot Gray_leaf_spot,ffc,42,0.8701298701298701
Cercospora_leaf_spot Gray_leaf_spot,ffc,123,0.8609271523178808
Cercospora_leaf_spot Gray_leaf_spot,ffc,492,0.8450704225352113
Cercospora_leaf_spot Gray_leaf_spot,film,0,0.8789808917197452
Cercospora_leaf_spot Gray_leaf_spot,film,1,0.847682119205298
Cercospora_leaf_spot Gray_leaf_spot,film,42,0.8513513513513513
Cercospora_leaf_spot Gray_leaf_spot,film,123,0.8666666666666667
Cercospora_leaf_spot Gray_leaf_spot,film,492,0.7596899224806202
Common_rust_,one_stage,0,0.9971988795518208
Common_rust_,one_stage,1,0.994413407821229
Common_rust_,one_stage,42,0.994413407821229
Common_rust_,one_stage,123,0.994413407821229
Common_rust_,one_stage,492,0.9944444444444444
Common_rust_,two_stage,0,0.9915966386554622
Common_rust_,two_stage,1,0.994413407821229
Common_rust_,two_stage,42,0.9916434540389972
Common_rust_,two_stage,123,0.9916434540389972
Common_rust_,two_stage,492,0.994413407821229
Common_rust_,attention,0,0.9971988795518208
Common_rust_,attention,1,0.9971988795518208
Common_rust_,attention,42,0.9971988795518208
Common_rust_,attention,123,0.9971988795518208
Common_rust_,attention,492,0.994413407821229
Common_rust_,gating,0,0.9971988795518208
Common_rust_,gating,1,0.9971988795518208
Common_rust_,gating,42,0.9916434540389972
Common_rust_,gating,123,0.9972144846796658
Common_rust_,gating,492,0.9972144846796658
Common_rust_,ffs,0,0.994413407821229
Common_rust_,ffs,1,0.988950276243094
Common_rust_,ffs,42,0.994413407821229
Common_rust_,ffs,123,0.9971988795518208
Common_rust_,ffs,492,0.9972144846796658
Common_rust_,ffc,0,0.9971988795518208
Common_rust_,ffc,1,0.994413407821229
Common_rust_,ffc,42,0.9971988795518208
Common_rust_,ffc,123,0.9916434540389972
Common_rust_,ffc,492,0.994413407821229
Common_rust_,film,0,0.9944444444444444
Common_rust_,film,1,1.0
Common_rust_,film,42,1.0
Common_rust_,film,123,0.994413407821229
Common_rust_,film,492,0.9915966386554622
Early_blight,one_stage,0,0.8860866401600791
Early_blight,one_stage,1,0.8934734801893474
Early_blight,one_stage,42,0.9082272032603158
Early_blight,one_stage,123,0.88691627783468
Early_blight,one_stage,492,0.892885235086651
Early_blight,two_stage,0,0.927007299270073
Early_blight,two_stage,1,0.9059551509882635
Early_blight,two_stage,42,0.9045888704318936
Early_blight,two_stage,123,0.8990324917218543
Early_blight,two_stage,492,0.9158063887806778
Early_blight,attention,0,0.9581239530988276
Early_blight,attention,1,0.9749582637729548
Early_blight,attention,42,0.9612141652613828
Early_blight,attention,123,0.979933110367893
Early_blight,attention,492,0.953528399311532
Early_blight,gating,0,0.9609507640067912
Early_blight,gating,1,0.964467005076142
Early_blight,gating,42,0.9565217391304348
Early_blight,gating,123,0.9595959595959596
Early_blight,gating,492,0.9498327759197324
Early_blight,ffs,0,0.9124579124579124
Early_blight,ffs,1,0.88107202680067
Early_blight,ffs,42,0.9113043478260868
Early_blight,ffs,123,0.8954703832752613
Early_blight,ffs,492,0.9143835616438356
Early_blight,ffc,0,0.915951972555746
Early_blight,ffc,1,0.8786324786324786
