class,framework,seed,f1
Apple__healthy,one_stage,42,0.9576271186440678
Apple__healthy,one_stage,123,0.948936170212766
Apple__healthy,one_stage,492,0.9509594882729212
Apple__healthy,two_stage,0,0.9688149688149688
Apple__healthy,two_stage,1,0.9642105263157896
Apple__healthy,two_stage,42,0.977035490605428
Apple__healthy,two_stage,123,0.9727463312368972
Apple__healthy,two_stage,492,0.9707112970711296
Apple__healthy,attention,0,0.9946435929130614
Apple__healthy,attention,1,0.9975369458128078
Apple__healthy,attention,42,0.995049504950495
Apple__healthy,attention,123,0.9975389663658736
Apple__healthy,attention,492,0.9971252566735112
Apple__healthy,gating,0,0.9908940397350994
Apple__healthy,gating,1,0.9954713874022232
Apple__healthy,gating,42,0.9938042131350682
Apple__healthy,gating,123,0.9950454170107348
Apple__healthy,gating,492,0.9946435929130614
Apple__healthy,ffs,0,0.9599325179249262
Apple__healthy,ffs,1,0.9602344077019672
Apple__healthy,ffs,42,0.9612338474364318
Apple__healthy,ffs,123,0.960337552742616
Apple__healthy,ffs,492,0.9619087484303056
Apple__healthy,ffc,0,0.9643007139857204
Apple__healthy,ffc,1,0.955937893411666
Apple__healthy,ffc,42,0.9681742043551088
Apple__healthy,ffc,123,0.95578231292517
Apple__healthy,ffc,492,0.9545071609098568
Apple__healthy,film,0,0.9643449419568824
Apple__healthy,film,1,0.9507221750212403
Apple__healthy,film,42,0.9612015018773468
Apple__healthy,film,123,0.9611366485582952
Apple__healthy,film,492,0.9630872483221476
Cherry_(including_sour)__Powdery_mildew,one_stage,0,0.9807692307692308
Cherry_(including_sour)__Powdery_mildew,one_stage,1,0.9675324675324676
Cherry_(including_sour)__Powdery_mildew,one_stage,42,0.9871794871794872
Cherry_(including_sour)__Powdery_mildew,one_stage,123,0.9936305732484076
Cherry_(including_sour)__Powdery_mildew,one_stage,492,0.9840255591054312
Cherry_(including_sour)__Powdery_mildew,two_stage,0,1.0
Cherry_(including_sour)__Powdery_mildew,two_stage,1,0.9968253968253968
Cherry_(including_sour)__Powdery_mildew,two_stage,42,1.0
Cherry_(including_sour)__Powdery_mildew,two_stage,123,1.0
Cherry_(including_sour)__Powdery_mildew,two_stage,492,1.0
Cherry_(including_sour)__Powdery_mildew,attention,0,0.9968253968253968
Cherry_(including_sour)__Powdery_mildew,attention,1,0.9968253968253968
Cherry_(including_sour)__Powdery_mildew,attention,42,0.9936708860759492
Cherry_(including_sour)__Powdery_mildew,attention,123,0.9871794871794872
Cherry_(including_sour)__Powdery_mildew,attention,492,0.9968253968253968
Cherry_(including_sour)__Powdery_mildew,gating,0,0.9936305732484076
Cherry_(including_sour)__Powdery_mildew,gating,1,0.9936305732484076
Cherry_(including_sour)__Powdery_mildew,gating,42,0.9904153354632588
Cherry_(including_sour)__Powdery_mildew,gating,123,0.9968253968253968
Cherry_(including_sour)__Powdery_mildew,gating,492,0.9936708860759492
Cherry_(including_sour)__Powdery_mildew,ffs,0,0.9904761904761904
Cherry_(including_sour)__Powdery_mildew,ffs,1,0.9936305732484076
Cherry_(including_sour)__Powdery_mildew,ffs,42,0.9872611464968152
