class,precision,recall,f1,support
Apple,0.9880952380952381,0.8773784355179705,0.9294512877939529,473
Cherry_(including_sour),0.996415770609319,0.972027972027972,0.984070796460177,286
Corn_(maize),0.998272884283247,1.0,0.9991356957649092,578
Grape,0.9967320261437909,1.0,0.9983633387888707,610
Peach,0.9366197183098591,1.0,0.9672727272727273,399
"Pepper,_bell",0.9945652173913043,0.9865229110512129,0.9905277401894452,371
Potato,0.9688473520249221,0.9628482972136223,0.9658385093167702,323
Strawberry,0.9831932773109243,0.9957446808510638,0.9894291754756871,235
Tomato,0.9829462989840348,0.9944933920704846,0.9886861313868613,2724
