class,precision,recall,f1,support
Apple_scab,0.9489795918367347,0.9893617021276596,0.96875,94
Bacterial_spot,0.9937264742785445,0.974169741697417,0.9838509316770186,813
Black_rot,0.9962825278810409,0.9925925925925926,0.9944341372912802,270
Cedar_apple_rust,1.0,1.0,1.0,41
Cercospora_leaf_spot Gray_leaf_spot,0.9571428571428572,0.8701298701298701,0.9115646258503401,77
Common_rust_,1.0,0.994413407821229,0.9971988795518207,179
Early_blight,0.9629629629629629,0.9533333333333334,0.9581239530988275,300
Esca_(Black_Measles),1.0,0.9951690821256038,0.9975786924939467,207
Late_blight,0.9797752808988764,1.0,0.9897843359818388,436
Leaf_Mold,1.0,1.0,1.0,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,162
Leaf_scorch,0.9940476190476191,1.0,0.9970149253731343,167
Northern_Leaf_Blight,0.9290322580645162,0.972972972972973,0.9504950495049505,148
Powdery_mildew,1.0,0.9936708860759493,0.9968253968253968,158
Septoria_leaf_spot,0.9664179104477612,0.9773584905660377,0.9718574108818011,265
Spider_mites Two-spotted_spider_mite,0.984375,1.0,0.9921259842519685,252
Target_Spot,0.9537037037037037,0.9809523809523809,0.9671361502347418,210
Tomato_Yellow_Leaf_Curl_Virus,0.9938042131350682,0.9975124378109452,0.9956548727498448,804
Tomato_mosaic_virus,1.0,1.0,1.0,56
healthy,0.9975206611570248,0.9917830731306492,0.9946435929130614,1217
