class,precision,recall,f1,support
Apple,1.0,0.9873150105708245,0.9936170212765958,473
Cherry_(including_sour),0.9964664310954063,0.986013986013986,0.9912126537785588,286
Corn_(maize),1.0,0.9913494809688581,0.9956559513466551,578
Grape,1.0,0.9967213114754099,0.9983579638752053,610
Peach,0.9974937343358395,0.9974937343358395,0.9974937343358395,399
"Pepper,_bell",0.9866666666666667,0.9973045822102425,0.9919571045576407,371
Potato,0.9968051118210862,0.9659442724458205,0.9811320754716981,323
Strawberry,0.9957627118644068,1.0,0.9978768577494692,235
Tomato,0.9919854280510019,0.999632892804699,0.9957944779667215,2724
