class,precision,recall,f1,support
Apple,0.997872340425532,0.9915433403805497,0.9946977730646872,473
Cherry_(including_sour),1.0,0.993006993006993,0.9964912280701754,286
Corn_(maize),1.0,0.9982698961937716,0.9991341991341991,578
Grape,1.0,1.0,1.0,610
Peach,0.9974937343358395,0.9974937343358395,0.9974937343358395,399
"Pepper,_bell",0.9893048128342246,0.9973045822102425,0.9932885906040269,371
Potato,1.0,0.9721362229102167,0.9858712715855573,323
Strawberry,0.9957627118644068,1.0,0.9978768577494692,235
Tomato,0.9952468007312614,0.9992657856093979,0.9972522440007328,2724
