class,precision,recall,f1,support
Apple,0.9929245283018868,0.8900634249471459,0.9386845039018952,473
Cherry_(including_sour),1.0,0.9790209790209791,0.9893992932862191,286
Corn_(maize),1.0,0.9982698961937716,0.9991341991341991,578
Grape,0.9967320261437909,1.0,0.9983633387888707,610
Peach,0.9322429906542056,1.0,0.9649334945586457,399
"Pepper,_bell",0.9972602739726028,0.9811320754716981,0.9891304347826086,371
Potato,0.9719626168224299,0.9659442724458205,0.968944099378882,323
Strawberry,0.9791666666666666,1.0,0.9894736842105263,235
Tomato,0.984375,0.9944933920704846,0.9894083272461651,2724
