class,precision,recall,f1,support
Apple,0.9926108374384236,0.8520084566596194,0.9169510807736063,473
Cherry_(including_sour),0.99644128113879,0.9790209790209791,0.9876543209876543,286
Corn_(maize),1.0,0.9982698961937716,0.9991341991341991,578
Grape,1.0,0.9983606557377049,0.9991796554552912,610
Peach,0.9322429906542056,1.0,0.9649334945586457,399
"Pepper,_bell",0.989159891598916,0.9838274932614556,0.9864864864864865,371
Potato,0.9723076923076923,0.978328173374613,0.9753086419753086,323
Strawberry,0.9873417721518988,0.9957446808510638,0.9915254237288136,235
Tomato,0.9790386700397542,0.9944933920704846,0.986705518120561,2724
