class,precision,recall,f1,support
Apple,1.0,0.9830866807610994,0.9914712153518124,473
Cherry_(including_sour),1.0,0.9895104895104895,0.9947275922671354,286
Corn_(maize),1.0,0.9948096885813149,0.997398091934085,578
Grape,1.0,0.9950819672131147,0.9975349219391948,610
Peach,0.9974874371859297,0.9949874686716792,0.9962358845671268,399
"Pepper,_bell",0.9893048128342246,0.9973045822102425,0.9932885906040269,371
Potato,1.0,0.9628482972136223,0.9810725552050473,323
Strawberry,0.9915611814345991,1.0,0.9957627118644068,235
Tomato,0.9909057839214259,1.0,0.9954321213228576,2724
