class,precision,recall,f1,support
Apple,1.0,0.9704016913319239,0.9849785407725322,473
Cherry_(including_sour),0.9964664310954063,0.986013986013986,0.9912126537785588,286
Corn_(maize),1.0,0.9913494809688581,0.9956559513466551,578
Grape,1.0,0.9901639344262295,0.9950576606260296,610
Peach,0.9874686716791979,0.9874686716791979,0.9874686716791979,399
"Pepper,_bell",0.9787798408488063,0.9946091644204852,0.9866310160427807,371
Potato,0.9871382636655949,0.9504643962848297,0.9684542586750788,323
Strawberry,0.9832635983263598,1.0,0.9915611814345991,235
Tomato,0.9883805374001452,0.9992657856093979,0.9937933552391384,2724
