class,precision,recall,f1,support
Apple,1.0,0.9365750528541226,0.9672489082969432,473
Cherry_(including_sour),1.0,0.9755244755244755,0.9876106194690265,286
Corn_(maize),0.9982638888888888,0.9948096885813149,0.9965337954939342,578
Grape,1.0,0.9901639344262295,0.9950576606260296,610
Peach,0.9973753280839895,0.9523809523809523,0.9743589743589743,399
"Pepper,_bell",0.9661458333333334,1.0,0.9827814569536424,371
Potato,1.0,0.9009287925696594,0.9478827361563518,323
Strawberry,0.9915254237288136,0.9957446808510638,0.9936305732484076,235
Tomato,0.9711229946524064,1.0,0.9853499728703201,2724
