class,precision,recall,f1,support
Apple,0.9953917050691244,0.9133192389006343,0.9525909592061742,473
Cherry_(including_sour),1.0,0.972027972027972,0.9858156028368794,286
Corn_(maize),0.9982668977469671,0.9965397923875432,0.9974025974025974,578
Grape,0.9983633387888707,1.0,0.9991809991809992,610
Peach,0.9545454545454546,1.0,0.9767441860465116,399
"Pepper,_bell",0.9972677595628415,0.9838274932614556,0.9905020352781547,371
Potato,0.9751552795031055,0.9721362229102167,0.9736434108527132,323
Strawberry,0.9873417721518988,0.9957446808510638,0.9915254237288136,235
Tomato,0.9840348330914369,0.9955947136563876,0.9897810218978103,2724
