class,precision,recall,f1,support
Apple,1.0,0.9619450317124736,0.9806034482758621,473
Cherry_(including_sour),0.9964285714285714,0.9755244755244755,0.9858657243816255,286
Corn_(maize),0.9982698961937716,0.9982698961937716,0.9982698961937716,578
Grape,1.0,0.9885245901639345,0.9942291838417148,610
Peach,0.9973474801061007,0.9423558897243107,0.9690721649484536,399
"Pepper,_bell",0.9507772020725389,0.9892183288409704,0.9696169088507266,371
Potato,0.9933333333333333,0.9226006191950464,0.956661316211878,323
Strawberry,0.9957627118644068,1.0,0.9978768577494692,235
Tomato,0.9780890804597702,0.999632892804699,0.9887436456063907,2724
