class,precision,recall,f1,support
Apple,0.9978494623655914,0.9809725158562368,0.9893390191897654,473
Cherry_(including_sour),0.9965034965034965,0.9965034965034965,0.9965034965034965,286
Corn_(maize),0.998272884283247,1.0,0.9991356957649092,578
Grape,1.0,0.9967213114754099,0.9983579638752053,610
Peach,0.9900744416873449,1.0,0.9950124688279302,399
"Pepper,_bell",0.9946380697050938,1.0,0.9973118279569892,371
Potato,1.0,0.9597523219814241,0.9794628751974723,323
Strawberry,1.0,1.0,1.0,235
Tomato,0.9937956204379562,0.999632892804699,0.996705710102489,2724
