class,precision,recall,f1,support
Apple,0.9977426636568849,0.9344608879492601,0.9650655021834061,473
Cherry_(including_sour),0.99644128113879,0.9790209790209791,0.9876543209876543,286
Corn_(maize),1.0,1.0,1.0,578
Grape,1.0,0.9983606557377049,0.9991796554552912,610
Peach,0.9471153846153846,0.9874686716791979,0.9668711656441717,399
"Pepper,_bell",0.9813829787234043,0.9946091644204852,0.9879518072289156,371
Potato,0.9810126582278481,0.9597523219814241,0.9702660406885759,323
Strawberry,0.9791666666666666,1.0,0.9894736842105263,235
Tomato,0.9908759124087592,0.9966960352422908,0.9937774524158126,2724
