class,precision,recall,f1,support
Apple_scab,0.9761904761904762,0.8723404255319149,0.9213483146067416,94
Bacterial_spot,0.9707379134860051,0.9384993849938499,0.9543464665415885,813
Black_rot,0.9850187265917603,0.9740740740740741,0.9795158286778398,270
Cedar_apple_rust,0.975609756097561,0.975609756097561,0.975609756097561,41
Cercospora_leaf_spot Gray_leaf_spot,0.8607594936708861,0.8831168831168831,0.8717948717948718,77
Common_rust_,0.988950276243094,1.0,0.9944444444444445,179
Early_blight,0.9657794676806084,0.8466666666666667,0.9023090586145648,300
Esca_(Black_Measles),0.981042654028436,1.0,0.9904306220095693,207
Late_blight,0.9830917874396136,0.9334862385321101,0.9576470588235294,436
Leaf_Mold,0.927536231884058,0.8951048951048951,0.9110320284697508,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9938271604938271,0.9969040247678018,162
Leaf_scorch,0.9881656804733728,1.0,0.9940476190476191,167
Northern_Leaf_Blight,0.9440559440559441,0.9121621621621622,0.9278350515463918,148
Powdery_mildew,0.9935483870967742,0.9746835443037974,0.9840255591054313,158
Septoria_leaf_spot,0.9384615384615385,0.9207547169811321,0.9295238095238095,265
Spider_mites Two-spotted_spider_mite,0.9364406779661016,0.876984126984127,0.9057377049180327,252
Target_Spot,0.7897196261682243,0.8047619047619048,0.7971698113207547,210
Tomato_Yellow_Leaf_Curl_Virus,0.9457547169811321,0.9975124378109452,0.9709443099273608,804
Tomato_mosaic_virus,0.6746987951807228,1.0,0.8057553956834532,56
healthy,0.9470774091627172,0.9852095316351684,0.9657672170761176,1217
