class,precision,recall,f1,support
Apple_scab,0.9574468085106383,0.9574468085106383,0.9574468085106383,94
Bacterial_spot,0.9917355371900827,0.8856088560885609,0.935672514619883,813
Black_rot,0.9075342465753424,0.9814814814814815,0.9430604982206405,270
Cedar_apple_rust,0.9285714285714286,0.9512195121951219,0.9397590361445783,41
Cercospora_leaf_spot Gray_leaf_spot,0.9423076923076923,0.6363636363636364,0.7596899224806202,77
Common_rust_,0.9943820224719101,0.9888268156424581,0.9915966386554622,179
Early_blight,0.9471830985915493,0.8966666666666666,0.9212328767123288,300
Esca_(Black_Measles),0.9947089947089947,0.9082125603864735,0.9494949494949495,207
Late_blight,0.9568181818181818,0.9655963302752294,0.9611872146118722,436
Leaf_Mold,0.9624060150375939,0.8951048951048951,0.927536231884058,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9938271604938271,0.9969040247678018,162
Leaf_scorch,1.0,0.9880239520958084,0.9939759036144579,167
Northern_Leaf_Blight,0.7643979057591623,0.9864864864864865,0.8613569321533924,148
Powdery_mildew,1.0,0.9810126582278481,0.9904153354632588,158
Septoria_leaf_spot,0.8295819935691319,0.9735849056603774,0.8958333333333334,265
Spider_mites Two-spotted_spider_mite,0.908745247148289,0.9484126984126984,0.9281553398058252,252
Target_Spot,0.75,0.9571428571428572,0.8410041841004184,210
Tomato_Yellow_Leaf_Curl_Virus,0.9660606060606061,0.9912935323383084,0.9785144260282382,804
Tomato_mosaic_virus,0.8571428571428571,0.9642857142857143,0.907563025210084,56
healthy,0.9837189374464439,0.9433032046014791,0.9630872483221476,1217
