class,precision,recall,f1,support
Apple__Apple_scab,0.9574468085106383,0.9574468085106383,0.9574468085106383,94
Apple__Black_rot,0.9473684210526315,0.967741935483871,0.9574468085106383,93
Apple__Cedar_apple_rust,1.0,0.926829268292683,0.9620253164556962,41
Apple__healthy,0.9955947136563876,0.9224489795918367,0.9576271186440678,245
Cherry_(including_sour)__Powdery_mildew,1.0,0.9746835443037974,0.9871794871794872,158
Cherry_(including_sour)__healthy,0.9922480620155039,1.0,0.9961089494163424,128
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,0.9264705882352942,0.8181818181818182,0.8689655172413793,77
Corn_(maize)__Common_rust_,0.994413407821229,0.994413407821229,0.994413407821229,179
Corn_(maize)__Northern_Leaf_Blight,0.8930817610062893,0.9594594594594594,0.9250814332247557,148
Corn_(maize)__healthy,1.0,1.0,1.0,174
Grape__Black_rot,1.0,0.943502824858757,0.9709302325581395,177
Grape__Esca_(Black_Measles),0.9624413145539906,0.9903381642512077,0.9761904761904762,207
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9629629629629629,0.9811320754716981,162
Grape__healthy,0.9696969696969697,1.0,0.9846153846153847,64
Peach__Bacterial_spot,0.9797687861271677,0.9826086956521739,0.9811866859623734,345
Peach__healthy,0.9,1.0,0.9473684210526315,54
"Pepper,_bell__Bacterial_spot",1.0,0.9664429530201343,0.9829351535836177,149
"Pepper,_bell__healthy",0.9910313901345291,0.9954954954954955,0.9932584269662922,222
Potato__Early_blight,0.9868421052631579,1.0,0.9933774834437086,150
Potato__Late_blight,0.9850746268656716,0.88,0.9295774647887324,150
Potato__healthy,0.8846153846153846,1.0,0.9387755102040817,23
Strawberry__Leaf_scorch,0.9649122807017544,0.9880239520958084,0.9763313609467456,167
Strawberry__healthy,1.0,0.9852941176470589,0.9925925925925926,68
Tomato__Bacterial_spot,0.985663082437276,0.8620689655172413,0.919732441471572,319
Tomato__Early_blight,0.9727272727272728,0.7133333333333334,0.823076923076923,150
Tomato__Late_blight,0.9498207885304659,0.9265734265734266,0.9380530973451328,286
Tomato__Leaf_Mold,0.9416058394160584,0.9020979020979021,0.9214285714285714,143
Tomato__Septoria_leaf_spot,0.9042145593869731,0.8905660377358491,0.8973384030418251,265
Tomato__Spider_mites Two-spotted_spider_mite,0.9615384615384616,0.7936507936507936,0.8695652173913043,252
Tomato__Target_Spot,0.7751196172248804,0.7714285714285715,0.7732696897374701,210
Tomato__Tomato_Yellow_Leaf_Curl_Virus,0.9490521327014217,0.996268656716418,0.9720873786407767,804
Tomato__Tomato_mosaic_virus,0.6511627906976745,1.0,0.7887323943661971,56
Tomato__healthy,0.6918604651162791,0.99581589958159,0.8164665523156089,239
