class,precision,recall,f1,support
Apple,0.9977973568281938,0.9577167019027484,0.9773462783171522,473
Cherry_(including_sour),0.9964664310954063,0.986013986013986,0.9912126537785588,286
Corn_(maize),0.996551724137931,1.0,0.998272884283247,578
Grape,0.9983388704318937,0.9852459016393442,0.9917491749174917,610
Peach,0.9802955665024631,0.9974937343358395,0.9888198757763975,399
"Pepper,_bell",1.0,0.9892183288409704,0.994579945799458,371
Potato,0.9871794871794872,0.9535603715170279,0.9700787401574803,323
Strawberry,0.9747899159663865,0.9872340425531915,0.9809725158562368,235
Tomato,0.9862169024301777,0.9981644640234949,0.9921547162926473,2724
