class,precision,recall,f1,support
Apple,0.9840546697038725,0.9133192389006343,0.9473684210526315,473
Cherry_(including_sour),0.996415770609319,0.972027972027972,0.984070796460177,286
Corn_(maize),0.9982698961937716,0.9982698961937716,0.9982698961937716,578
Grape,0.9950980392156863,0.9983606557377049,0.9967266775777414,610
Peach,0.9410377358490566,1.0,0.9696233292831106,399
"Pepper,_bell",0.9945504087193461,0.9838274932614556,0.989159891598916,371
Potato,0.9602446483180428,0.9721362229102167,0.9661538461538461,323
Strawberry,0.9873949579831933,1.0,0.9936575052854123,235
Tomato,0.9868372943327239,0.9908223201174743,0.9888257922696465,2724
