class,precision,recall,f1,support
Apple,0.9953271028037384,0.9006342494714588,0.9456159822419534,473
Cherry_(including_sour),1.0,0.9615384615384616,0.9803921568627451,286
Corn_(maize),0.9982547993019197,0.9896193771626297,0.9939183318853171,578
Grape,0.9983579638752053,0.9967213114754099,0.9975389663658737,610
Peach,0.9477434679334917,1.0,0.973170731707317,399
"Pepper,_bell",0.9946091644204852,0.9946091644204852,0.9946091644204852,371
Potato,0.9875,0.978328173374613,0.9828926905132193,323
Strawberry,0.9957446808510638,0.9957446808510638,0.9957446808510638,235
Tomato,0.9812070834839176,0.9966960352422908,0.9888909124021126,2724
