class,precision,recall,f1,support
Apple,1.0,0.9746300211416491,0.987152034261242,473
Cherry_(including_sour),1.0,0.9755244755244755,0.9876106194690265,286
Corn_(maize),1.0,0.9896193771626297,0.9947826086956522,578
Grape,1.0,0.9901639344262295,0.9950576606260296,610
Peach,1.0,0.9724310776942355,0.9860228716645489,399
"Pepper,_bell",0.9840425531914894,0.9973045822102425,0.9906291834002677,371
Potato,0.9966101694915255,0.9102167182662538,0.9514563106796117,323
Strawberry,0.9915611814345991,1.0,0.9957627118644068,235
Tomato,0.9770362396842482,0.999632892804699,0.9882054073670841,2724
