class,precision,recall,f1,support
Apple,0.9974293059125964,0.8202959830866807,0.9002320185614849,473
Cherry_(including_sour),1.0,0.958041958041958,0.9785714285714285,286
Corn_(maize),0.9982014388489209,0.9602076124567474,0.9788359788359788,578
Grape,0.9983579638752053,0.9967213114754099,0.9975389663658737,610
Peach,0.9279069767441861,1.0,0.962605548854041,399
"Pepper,_bell",0.9917355371900827,0.9703504043126685,0.9809264305177112,371
Potato,0.9935064935064936,0.9473684210526315,0.9698890649762282,323
Strawberry,0.9915254237288136,0.9957446808510638,0.9936305732484076,235
Tomato,0.9597741707833451,0.9985315712187959,0.9787693414897445,2724
