class,precision,recall,f1,support
Apple_scab,0.9278350515463918,0.9574468085106383,0.9424083769633508,94
Bacterial_spot,0.9954614220877458,0.8093480934809348,0.89280868385346,813
Black_rot,0.88,0.9777777777777777,0.9263157894736842,270
Cedar_apple_rust,0.9069767441860465,0.9512195121951219,0.9285714285714286,41
Cercospora_leaf_spot Gray_leaf_spot,0.8625,0.8961038961038961,0.8789808917197452,77
Common_rust_,0.988950276243094,1.0,0.9944444444444445,179
Early_blight,0.9589552238805971,0.8566666666666667,0.9049295774647887,300
Esca_(Black_Measles),0.9893048128342246,0.893719806763285,0.9390862944162437,207
Late_blight,0.9414414414414415,0.9587155963302753,0.95,436
Leaf_Mold,0.9461538461538461,0.8601398601398601,0.9010989010989011,143
Leaf_blight_(Isariopsis_Leaf_Spot),0.9938271604938271,0.9938271604938271,0.9938271604938271,162
Leaf_scorch,1.0,1.0,1.0,167
Northern_Leaf_Blight,0.9387755102040817,0.9324324324324325,0.9355932203389831,148
Powdery_mildew,0.9935897435897436,0.9810126582278481,0.9872611464968153,158
Septoria_leaf_spot,0.7943037974683544,0.9471698113207547,0.8640275387263339,265
Spider_mites Two-spotted_spider_mite,0.9157088122605364,0.9484126984126984,0.9317738791423001,252
Target_Spot,0.6888111888111889,0.9380952380952381,0.7943548387096774,210
Tomato_Yellow_Leaf_Curl_Virus,0.9455621301775148,0.9937810945273632,0.9690721649484536,804
Tomato_mosaic_virus,0.7397260273972602,0.9642857142857143,0.8372093023255814,56
healthy,0.9732217573221758,0.9556285949055053,0.9643449419568823,1217
