class,precision,recall,f1,support
Apple,1.0,0.864693446088795,0.927437641723356,473
Cherry_(including_sour),0.9925925925925926,0.9370629370629371,0.9640287769784173,286
Corn_(maize),0.9965156794425087,0.9896193771626297,0.9930555555555556,578
Grape,1.0,0.9704918032786886,0.9850249584026622,610
Peach,0.9530864197530864,0.9674185463659147,0.9601990049751243,399
"Pepper,_bell",0.9888888888888889,0.9595687331536388,0.9740082079343365,371
Potato,0.9868852459016394,0.9318885448916409,0.9585987261146497,323
Strawberry,0.9957264957264957,0.9914893617021276,0.9936034115138592,235
Tomato,0.9550877192982457,0.9992657856093979,0.9766774309293147,2724
