class,precision,recall,f1,support
Apple,1.0,0.959830866807611,0.9795037756202805,473
Cherry_(including_sour),1.0,0.986013986013986,0.9929577464788732,286
Corn_(maize),1.0,0.9948096885813149,0.997398091934085,578
Grape,1.0,0.9983606557377049,0.9991796554552912,610
Peach,0.9753694581280788,0.9924812030075187,0.9838509316770186,399
"Pepper,_bell",0.9813829787234043,0.9946091644204852,0.9879518072289156,371
Potato,0.9967948717948718,0.9628482972136223,0.9795275590551181,323
Strawberry,0.9915611814345991,1.0,0.9957627118644068,235
Tomato,0.9909024745269287,0.999632892804699,0.9952485380116959,2724
