class,precision,recall,f1,support
Apple_scab,0.9680851063829787,0.9680851063829787,0.9680851063829787,94
Bacterial_spot,0.9827586206896551,0.981549815498155,0.9821538461538462,813
Black_rot,0.9887640449438202,0.9777777777777777,0.9832402234636871,270
Cedar_apple_rust,1.0,0.975609756097561,0.9876543209876543,41
Cercospora_leaf_spot Gray_leaf_spot,0.9459459459459459,0.9090909090909091,0.9271523178807947,77
Common_rust_,1.0,0.994413407821229,0.9971988795518207,179
Early_blight,0.9792387543252595,0.9433333333333334,0.9609507640067911,300
Esca_(Black_Measles),0.9951690821256038,0.9951690821256038,0.9951690821256038,207
Late_blight,0.9863945578231292,0.9977064220183486,0.992018244013683,436
Leaf_Mold,1.0,1.0,1.0,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9938271604938271,0.9969040247678018,162
Leaf_scorch,0.9881656804733728,1.0,0.9940476190476191,167
Northern_Leaf_Blight,0.9466666666666667,0.9594594594594594,0.9530201342281879,148
Powdery_mildew,1.0,0.9873417721518988,0.9936305732484076,158
Septoria_leaf_spot,0.9597069597069597,0.9886792452830189,0.9739776951672863,265
Spider_mites Two-spotted_spider_mite,0.9580152671755725,0.996031746031746,0.9766536964980544,252
Target_Spot,0.9497716894977168,0.9904761904761905,0.9696969696969697,210
Tomato_Yellow_Leaf_Curl_Virus,0.992583436341162,0.9987562189054726,0.9956602603843769,804
Tomato_mosaic_virus,1.0,1.0,1.0,56
healthy,0.9983319432860718,0.9835661462612982,0.9908940397350994,1217
