class,precision,recall,f1,support
Apple,1.0,0.8308668076109936,0.9076212471131639,473
Cherry_(including_sour),0.9925373134328358,0.9300699300699301,0.9602888086642599,286
Corn_(maize),1.0,0.9896193771626297,0.9947826086956522,578
Grape,0.9982993197278912,0.9622950819672131,0.9799666110183639,610
Peach,0.9580246913580247,0.9724310776942355,0.9651741293532339,399
"Pepper,_bell",0.9917127071823204,0.967654986522911,0.9795361527967258,371
Potato,0.9927536231884058,0.848297213622291,0.9148580968280468,323
Strawberry,0.9873417721518988,0.9957446808510638,0.9915254237288136,235
Tomato,0.9396135265700483,0.999632892804699,0.9686944147990039,2724
